rank,model_id,candidate_name,round_trip_cost_bps,split,total_return,max_drawdown,trade_event_count,metric_source,diagnostic_only,may_reduce_promotion_cost,note
4,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,15.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
4,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,15.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
4,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
4,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
4,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
5,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
5,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
5,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
5,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,train,0.43015622229658024,0.07911268492008443,42,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
5,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,validation,0.072127109959772,0.016660456212946755,8,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
