decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
58,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool0_adx20_low_vol_q75_2p0x_0p15_d36d50fe,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.1513059459997732,0.09528516440756207,-0.04583136386595166,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.561_not_above_10.000
59,a30fb_voladj_trend_1h_ethusdt_lb6_z2p0_hold8_cool2_none_3p0x_0p15_4a3109fd,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.12882427777563765,0.1506805751985345,-0.026517416829976548,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.8549_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.895_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-6.476_not_above_10.000
60,a30fb_voladj_trend_6h_solusdt_lb24_z1p0_hold12_cool0_none_3p0x_0p15_1f2e1a68,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,6h,0.1448608120514301,0.09672209458568015,-0.0035219127810893758,False,False,False,train_trade_event_count_76_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_13_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-6.020_not_above_10.000
61,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool2_adx20_low_vol_q75_3p0x_0p1_15177fe7,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.15479643710918412,0.0961767361802337,-0.04583136386595166,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.561_not_above_10.000
62,a30fb_voladj_trend_4h_ethusdt_lb6_z2p0_hold8_cool2_adx20_low_vol_q75_2p0x_0p15_3c88f9f5,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.15479643710918523,0.09617673618023348,-0.04583136386595166,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-54.561_not_above_10.000
63,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_low_vol_q70_2p0x_0p15_b75785d3,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.3292179275185043,0.09684120184945932,-0.05413825710073861,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-66.837_not_above_10.000
64,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_low_vol_q70_3p0x_0p1_15a3d70f,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.32921792751850454,0.09684120184945932,-0.05413825710073861,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-66.837_not_above_10.000
65,a30fb_voladj_trend_6h_solusdt_lb24_z1p0_hold12_cool2_none_3p0x_0p15_9da290b0,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,6h,0.1448608120514301,0.09517348795415348,-0.0035219127810893758,False,False,False,train_trade_event_count_76_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_13_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-6.020_not_above_10.000
66,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool2_low_vol_q70_3p0x_0p15_e99e3ffb,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.48047460534285635,0.11511382869298048,-0.08020974890116506,False,False,False,validation_mdd_0.1579_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-66.016_not_above_10.000
67,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_none_3p0x_0p15_842ad312,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.49908394794657496,0.1187907199381677,-0.074728142605619,False,False,False,validation_mdd_0.1682_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-61.505_not_above_10.000
68,a30fb_voladj_trend_4h_ethusdt_lb6_z1p5_hold12_cool0_adx15_3p0x_0p15_5dfd0236,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.4533290102358809,0.1187907199381677,-0.074728142605619,False,False,False,validation_mdd_0.1682_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-61.505_not_above_10.000
69,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold12_3p0x_0p1_b69455a3,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,1h,0.10960286324365498,0.19146109096608188,-0.048604619620105316,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.5725_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-36.822_not_above_10.000
70,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold12_2p0x_0p15_992d7052,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,1h,0.10960286324365431,0.19146109096608188,-0.04860461962010554,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.5725_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-36.822_not_above_10.000
71,a30fb_voladj_trend_6h_solusdt_lb6_z1p0_hold8_cool0_none_3p0x_0p15_e8c08a4c,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,SOLUSDT,6h,0.20597040379023857,0.11385448732689984,-0.10058281048093476,False,False,False,validation_mdd_0.1344_above_0.12;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-72.102_not_above_10.000
72,a30fb_voladj_trend_1h_ethusdt_lb6_z1p5_hold8_cool2_low_vol_q70_3p0x_0p1_ae3cff79,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,1h,0.11520201936596108,0.10694381219371829,-0.0120865157477692,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.922_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.275_not_above_10.000
