decision_rank,decision,status,model_id,candidate_name,ready_for_paper,ready_for_real,real_money_execution,validation_return,train_return,locked_oos_return,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,replay_live_notional_parity,rejection_reasons
11,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.26008506379638363,0.04794962553312421,-0.040374265543010046,476,103,56,True,train_validation_return_ratio_0.1844_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
12,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.26008506379638363,0.04794962553312421,-0.040374265543010046,476,103,56,True,train_validation_return_ratio_0.1844_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
13,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.07627920895005458,0.36186910809664363,-0.00518341004917422,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
14,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_6p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.07627920895005458,0.36186910809664363,-0.00518341004917422,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
15,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.07416244201337707,0.35100199362149187,-0.005037803436494959,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
16,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_5p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.07416244201337707,0.35100199362149187,-0.005037803436494959,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
17,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06492944700092895,0.3817863892665132,-0.00193141253562934,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
18,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.06492944700092895,0.3817863892665132,-0.00193141253562934,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
19,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06312942079041761,0.36988848677499386,-0.00187776218741742,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
20,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.06312942079041761,0.36988848677499386,-0.00187776218741742,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
21,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.08897474255677351,0.22397415114750796,-0.006058989201550791,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
22,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_7p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.08897474255677351,0.22397415114750796,-0.006058989201550791,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
23,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04695644483921413,0.42155179401878606,-0.00371699538981185,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
24,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04695644483921413,0.42155179401878606,-0.00371699538981185,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
25,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_7p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.04695644483921413,0.42155179401878606,-0.00371699538981185,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
26,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.04695644483921413,0.42155179401878606,-0.00371699538981185,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
27,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06781086682167858,0.3186641862732398,-0.004601538286749918,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
28,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_4p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.06781086682167858,0.3186641862732398,-0.004601538286749918,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
29,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.23276927378878653,0.05089701163082627,-0.03613930184180558,476,103,56,True,train_validation_return_ratio_0.2187_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
30,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.23276927378878653,0.05089701163082627,-0.03613930184180558,476,103,56,True,train_validation_return_ratio_0.2187_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
31,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.07572443448626331,0.2469799968908064,-0.0022533146249008595,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
32,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.07572443448626331,0.2469799968908064,-0.0022533146249008595,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
33,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.05772792493636425,0.3346570119376624,-0.0017168111427816601,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
34,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.05772792493636425,0.3346570119376624,-0.0017168111427816601,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
35,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04472906733555315,0.3995012250517822,-0.0035401693504053533,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
36,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_family_volume_vwap_pressure_abs_score_ge_2p5_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.04472906733555315,0.3995012250517822,-0.0035401693504053533,50,11,3,True,train_trade_event_count_50_below_80;validation_trade_event_count_11_below_30;locked_oos_trade_event_count_3_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
37,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06357550814030288,0.2973282319302035,-0.004311157370015306,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
38,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06357550814030288,0.2973282319302035,-0.004311157370015306,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
39,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_6p0x_0p125alloc,alpha_zoo_conservative_exit,False,False,False,0.06357550814030288,0.2973282319302035,-0.004311157370015306,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
40,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_5p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.06357550814030288,0.2973282319302035,-0.004311157370015306,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
41,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.22598292080363946,0.051363965593672845,-0.03508690835760464,476,103,56,True,train_validation_return_ratio_0.2273_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
42,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.22598292080363946,0.051363965593672845,-0.03508690835760464,476,103,56,True,train_validation_return_ratio_0.2273_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
43,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.05412577669219609,0.311551607633334,-0.0016095104463577092,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
44,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.05412577669219609,0.311551607633334,-0.0016095104463577092,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
45,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p125alloc,alpha_zoo_conservative_exit,False,False,False,0.05412577669219609,0.311551607633334,-0.0016095104463577092,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
46,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.05412577669219609,0.311551607633334,-0.0016095104463577092,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
47,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.07416244201337707,0.19039188422311515,-0.005037803436494959,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
48,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_7p0x_0p125alloc,alpha_zoo_conservative_exit,False,False,False,0.07416244201337707,0.19039188422311515,-0.005037803436494959,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
49,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.050522735702561716,0.28874924116819334,-0.0015022097499338694,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
50,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.050522735702561716,0.28874924116819334,-0.0015022097499338694,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
51,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_7p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.06312942079041761,0.20703310923796447,-0.00187776218741742,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
52,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_7p0x_0p125alloc,alpha_zoo_conservative_exit,False,False,False,0.06312942079041761,0.20703310923796447,-0.00187776218741742,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
53,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.20572777034030243,0.05211352255596591,-0.031945237089857303,476,103,56,True,train_validation_return_ratio_0.2533_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
54,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_4p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.20572777034030243,0.05211352255596591,-0.031945237089857303,476,103,56,True,train_validation_return_ratio_0.2533_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
55,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_symbol_eth_usdt_abs_score_ge_2_alpha_zoo_high_confidence_single_pair_7p0x_0p2alloc,alpha_zoo_high_confidence_single_pair,False,False,False,0.03226778702039934,0.34746715685495566,0.004789959773195296,45,8,8,True,train_trade_event_count_45_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_8_below_20;primary_10bps_promotion_gate_failed
56,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p125alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04511655305454387,0.25510870003819774,-0.0013412587052981095,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
57,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p125alloc,alpha_zoo_conservative_exit,False,False,False,0.04511655305454387,0.25510870003819774,-0.0013412587052981095,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
58,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p1alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
59,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_4p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
60,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_3p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
61,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p1alloc,alpha_zoo_conservative_exit,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
62,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_4p0x_0p15alloc,alpha_zoo_conservative_exit,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
63,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_3p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.04331407193699399,0.24404413374990508,-0.0012876083570861896,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
