profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,sleeve_multiplier,weighted_notional_fraction,profile_weight_rank
balanced_mdd12_gross5_69_asset_profile_optuna,HOODUSDT,tradfi_equity,trend_pullback_reclaim,1h,short_only,36,-0.25,0.0,30,6,3,0.30000000000000004,0.049379756213416615,0.013213867100697163,0.03143199753495174,0.03211273700606476,16,8,102.8744921112846,55.057779586238176,1.442167229279455,0.21898182675409994,crypto_liquidity_eth,0.06923267705257151,False,train_trade_event_count_16_below_80;validation_trade_event_count_8_below_30;validation_return_0.0132_below_0.02,0.5317257726595714,0.15951773179787146,16
balanced_mdd12_gross5_69_asset_profile_optuna,PLTRUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,12,0.4,0.6,24,12,2,0.2,0.026267730129404976,-0.00021636583272877097,0.022200320577704935,0.05701791961982128,134,141,9.801391839330215,-0.07672547259885494,-0.14930139381355503,-2.519030063218951,precious_metal_gold,0.021033039725239264,False,validation_return_-0.0002_below_0.02;train_return_per_turnover_proxy_bps_9.801_not_above_10.000;validation_return_per_turnover_proxy_bps_-0.077_not_above_10.000,0.5826650355342677,0.11653300710685355,17
balanced_mdd12_gross5_69_asset_profile_optuna,AMZNUSDT,tradfi_equity,volatility_adjusted_trend_persistence,2h,long_only,6,0.4,0.6,72,0,1,0.1,0.003478296864790398,0.02456977734618171,0.009059252303687981,0.007471565094355759,16,17,21.739355404939985,144.52810203636298,1.3587044074345374,0.6333788493840194,silver_metal_beta,0.03883566425895179,False,train_trade_event_count_16_below_80;validation_trade_event_count_17_below_30;train_return_below_validation_return_possible_validation_spike,0.9181805342148806,0.09181805342148806,18
balanced_mdd12_gross5_69_asset_profile_optuna,XAUUSDT,tradfi_commodity,cross_sectional_momentum_rank,2h,long_short,24,0.15000000000000002,0.55,72,3,2,0.2,0.019358561669367447,0.005089012169428031,0.023225435257937188,0.004978937610694456,16,2,60.49550521677327,127.22530423570078,1.6436701864176768,-0.7115294823491278,precious_metal_gold,0.05155338919490279,False,train_trade_event_count_16_below_80;validation_trade_event_count_2_below_30;validation_return_0.0051_below_0.02,0.327554609541597,0.0655109219083194,19
balanced_mdd12_gross5_69_asset_profile_optuna,BNBUSDT,crypto_core,cross_sectional_momentum_rank,1h,short_only,48,0.05,0.5,54,15,3,0.30000000000000004,0.027345045765097664,0.005788980383583109,0.036910374310431204,0.005185658574980212,39,6,23.37183398726296,32.16100213101727,0.5863624306937241,-0.09476792474790025,crypto_liquidity_eth,0.013294533021782639,False,train_trade_event_count_39_below_80;validation_trade_event_count_6_below_30;validation_return_0.0058_below_0.02,0.16932007198356103,0.05079602159506832,20
balanced_mdd12_gross5_69_asset_profile_optuna,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,6,2.0,0.05,24,12,4,0.4,0.010291804118239156,0.01690029670353388,0.2325665074946518,0.047241204702956896,525,66,0.4900859103923408,6.401627539217378,0.0038460422007911554,-2.1339182874127456,high_beta_alt_sol,0.016193759127512277,False,validation_return_0.0169_below_0.02;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_0.490_not_above_10.000;validation_return_per_turnover_proxy_bps_6.402_not_above_10.000,0.06079659769151944,0.02431863907660778,21
balanced_mdd12_gross5_69_asset_profile_optuna,XPDUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,4h,short_only,6,2.0,0.5,6,18,2,0.2,0.017496569861329414,0.0036178424973538625,0.010434020923731135,0.005893054266798203,9,10,97.20316589627451,18.089212486769313,1.0218149189796155,-1.0211455792190787,tech_growth_qqq,0.03494607626866827,False,train_trade_event_count_9_below_80;validation_trade_event_count_10_below_30;validation_return_0.0036_below_0.02,0.04708313304683281,0.009416626609366562,22
growth_mdd20_gross8_69_asset_profile_optuna,AAPLUSDT,tradfi_equity,volatility_adjusted_trend_persistence,2h,long_only,6,0.4,0.35000000000000003,60,18,10,1.0,0.0,0.22309001308444154,0.0,0.02669275692667661,0,15,,148.7266753896277,1.6736101226577293,-19.198177209135174,crypto_beta_btc,0.057984582419146495,False,train_trade_event_count_0_below_80;validation_trade_event_count_15_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,0.7648232442129135,0.7648232442129135,1
growth_mdd20_gross8_69_asset_profile_optuna,MUUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,6,0.3,0.35,54,3,9,0.9,0.0,1.3120575637710603,0.0,0.13417075794677324,0,39,,373.8055737239488,4.5106007706371996,-15.272219010469087,high_beta_alt_sol,0.03979124832642483,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,0.7838023870643229,0.7054221483578906,2
growth_mdd20_gross8_69_asset_profile_optuna,SNDKUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_only,12,1.3,0.3,72,6,7,0.7000000000000001,0.0,0.8801014161431964,0.0,0.13165378903218372,0,47,,267.508029222856,3.2248002034119656,-16.989975725322182,silver_metal_beta,0.0744961555081906,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,0.8856426104150742,0.619949827290552,3
growth_mdd20_gross8_69_asset_profile_optuna,TSLAUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,6,0.05,0.55,60,12,8,0.8,0.017399584962139558,0.06047151555267227,0.026613702193013067,0.08720974156180106,14,28,15.535343716196033,26.99621230030012,0.3750919947474658,-0.3796434778571339,us_equity_beta_spy,0.06439092066731275,False,train_trade_event_count_14_below_80;validation_trade_event_count_28_below_30;train_return_below_validation_return_possible_validation_spike,0.6609093065316191,0.5287274452252952,4
growth_mdd20_gross8_69_asset_profile_optuna,TONUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_short,48,1.1,0.1,60,9,7,0.7000000000000001,0.5941603890259917,0.9190164830530254,0.33836323023063253,0.16880787810171494,407,44,20.855050509862814,298.38197501721595,7.228763664114464,6.704043753788364,energy_crude_beta,0.027352967936484195,False,train_return_below_validation_return_possible_validation_spike,0.7524991088948705,0.5267493762264094,5
growth_mdd20_gross8_69_asset_profile_optuna,CRCLUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,72,0.2,0.5,36,9,9,0.9,0.3302773357331408,0.28667270438528947,0.0918081242220038,0.14431152709235473,14,15,262.1248696294768,212.35015139651074,4.090589027735276,2.7709320503506425,us_equity_beta_spy,0.02335154873307586,False,train_trade_event_count_14_below_80;validation_trade_event_count_15_below_30,0.5573137166390267,0.5015823449751241,6
growth_mdd20_gross8_69_asset_profile_optuna,SOXLUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,1h,long_short,48,1.3,0.6,30,18,8,0.8,0.0,0.277236762251319,0.0,0.08409900589721986,0,6,,577.5765880235812,1.6064253742761887,-19.211215208349838,crypto_liquidity_eth,0.08675661522724501,False,train_trade_event_count_0_below_80;validation_trade_event_count_6_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000,0.6217222371554563,0.497377789724365,7
growth_mdd20_gross8_69_asset_profile_optuna,XAGUSDT,tradfi_commodity,cross_sectional_momentum_rank,30m,long_only,48,0.25,0.5,66,3,5,0.5,0.10494617463350142,0.015405975767483593,0.16279681516608557,0.0526541591454065,65,39,32.291130656461974,7.90050039358133,0.2926162263864438,-0.5162057904434132,silver_metal_beta,0.024929468244222926,False,train_trade_event_count_65_below_80;validation_return_0.0154_below_0.02;validation_return_per_turnover_proxy_bps_7.901_not_above_10.000,0.9225907419856668,0.4612953709928334,8
growth_mdd20_gross8_69_asset_profile_optuna,PLTRUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_short,12,0.1,0.5,18,3,6,0.6000000000000001,0.012887205130036161,0.15362737365633428,0.0600597632165093,0.04659358876819353,104,78,2.06525723237759,32.82636189237911,0.7402224305377114,-0.31289245654912223,precious_metal_gold,0.021830229684105373,False,train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_2.065_not_above_10.000,0.7154395958273505,0.4292637574964104,9
