[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:12:56,130] Trial 30 finished with value: 73.35126618893818 and parameters: {'bias_alpha': 0.93288659530196, 'bias_combine_ratio': 0.37408268393884253, 'max_weight': 0.7681549370930266, 'mape_window': 37, 'bias_window': 14, 'short_vol_window': 13}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:12:59,880] Trial 31 finished with value: 73.35094677069519 and parameters: {'bias_alpha': 0.9258444466102778, 'bias_combine_ratio': 0.37262519262579874, 'max_weight': 0.7795084168107, 'mape_window': 41, 'bias_window': 14, 'short_vol_window': 12}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:03,167] Trial 32 finished with value: 73.35135149861125 and parameters: {'bias_alpha': 0.9347695254729467, 'bias_combine_ratio': 0.446904225444291, 'max_weight': 0.7642737405326179, 'mape_window': 27, 'bias_window': 15, 'short_vol_window': 13}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:06,271] Trial 33 finished with value: -999926.7521635827 and parameters: {'bias_alpha': 0.934530799709978, 'bias_combine_ratio': 0.4482506384522236, 'max_weight': 0.7337800034717932, 'mape_window': 38, 'bias_window': 16, 'short_vol_window': 14}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:09,561] Trial 34 finished with value: -999926.7520567726 and parameters: {'bias_alpha': 0.9674771561401792, 'bias_combine_ratio': 0.4037512582928727, 'max_weight': 0.7708692417200753, 'mape_window': 27, 'bias_window': 16, 'short_vol_window': 13}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:12,631] Trial 35 finished with value: 73.35122840065523 and parameters: {'bias_alpha': 0.9320529000365905, 'bias_combine_ratio': 0.44632075740838056, 'max_weight': 0.7599523734947877, 'mape_window': 36, 'bias_window': 15, 'short_vol_window': 13}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:15,780] Trial 36 finished with value: 73.35146747728457 and parameters: {'bias_alpha': 0.9409064510016288, 'bias_combine_ratio': 0.3989780755683532, 'max_weight': 0.7293218416987028, 'mape_window': 30, 'bias_window': 14, 'short_vol_window': 12}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:18,803] Trial 37 finished with value: 73.3477392673848 and parameters: {'bias_alpha': 0.9476873006250116, 'bias_combine_ratio': 0.40983953224806924, 'max_weight': 0.7024034444314278, 'mape_window': 28, 'bias_window': 15, 'short_vol_window': 12}. Best is trial 25 with value: 73.35172193920316.
[I 2026-05-21 22:13:21,882] Trial 38 finished with value: 73.35293706527852 and parameters: {'bias_alpha': 0.9748810499717271, 'bias_combine_ratio': 0.3906357397481705, 'max_weight': 0.7290727633161569, 'mape_window': 31, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 38 with value: 73.35293706527852.
[I 2026-05-21 22:13:25,122] Trial 39 finished with value: 73.35345365108971 and parameters: {'bias_alpha': 0.9814701675860165, 'bias_combine_ratio': 0.398369792877029, 'max_weight': 0.7307107828772625, 'mape_window': 31, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 39 with value: 73.35345365108971.
