rank,model_id,family,symbol,asset_group,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,allocation_fraction,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_sharpe,validation_sharpe,train_trade_event_count,validation_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,sample_gate_pass,execution_efficiency_proxy_gate_pass,strict_backtest_gate_pass,relaxed_backtest_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,real_execution_allowed,rejection_reasons
779,az69_pullback_4h_bnbusdt_slow36_z-1p0_hold12_lev4_2552c0ae,trend_pullback_reclaim,BNBUSDT,crypto_core,4h,long_short,36,-1.0,0.0,12,2,4,0.1,0.4,-0.014152818347641039,0.005659612661250257,0.10309298880125317,0.01263634599005059,-0.06142519286501416,0.6712679405687961,54,2,578,28,-2.5006690730871606,-0.019812431008891296,-6.552230716500481,70.7451582656282,0.6058955261889133,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_54_below_80;validation_trade_event_count_2_below_30;validation_return_0.0057_below_0.02;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-6.552_not_above_10.000
780,az69_pullback_1h_avaxusdt_slow72_z-0p5_hold12_lev3_7e898605,trend_pullback_reclaim,AVAXUSDT,crypto_core,1h,long_short,72,-0.5,0.0,12,2,3,0.1,0.30000000000000004,-0.02278887125502249,0.06282321485154485,0.13282530650101276,0.04089308480625786,-0.006528282822109207,2.717542929680169,292,31,5457,595,-0.36274602165575265,-0.08561208610656734,-2.601469321349599,67.55184392639231,0.6056667747872916,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-2.601_not_above_10.000
781,az69_voladj_4h_tonusdt_lb24_th0p75_hold6_lev3_3a982a30,volatility_adjusted_trend_persistence,TONUSDT,crypto_core,4h,long_short,24,0.75,0.2,6,2,3,0.1,0.30000000000000004,-0.04461353849723748,0.0896879302678879,0.2040942945949119,0.10643516068464254,-0.10491850093298649,1.9468295561678108,210,29,1761,240,-0.4974307954702688,-0.1343014687651254,-7.081514047180552,103.0895750205608,0.6054336418843231,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_29_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-7.082_not_above_10.000
782,az69_xsmom_4h_btcusdt_lb12_top0p1_hold6_lev1_41d637a5,cross_sectional_momentum_rank,BTCUSDT,crypto_core,4h,long_short,12,0.1,0.45,6,2,1,0.1,0.1,0.015280119017571092,0.006560185072896685,0.007726997301704452,0.007479277100666537,0.7896103616365376,2.191459867139848,76,18,279,83,2.3292207228574533,0.008719933944674407,20.10541975996196,36.445472627203806,0.6048995103140221,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_76_below_80;validation_trade_event_count_18_below_30;validation_return_0.0066_below_0.02
783,az69_xsmom_4h_adausdt_lb48_top0p2_hold12_lev1_364aa647,cross_sectional_momentum_rank,ADAUSDT,crypto_core,4h,long_short,48,0.2,0.45,12,2,1,0.1,0.1,-0.04723539282623879,0.04524505845525395,0.10262468497826072,0.006758849057992178,-0.4710332106426828,5.624537858394986,126,11,1824,201,-1.0439900939227036,-0.09248045128149274,-37.48840700495141,411.31871322958136,0.6003774451664237,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_11_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-37.488_not_above_10.000
784,az69_pullback_1h_solusdt_slow36_z-1p0_hold6_lev1_3f2c4472,trend_pullback_reclaim,SOLUSDT,crypto_core,1h,long_short,36,-1.0,0.0,6,2,1,0.1,0.1,-0.005631282880181443,0.020038056204908505,0.04932776063613409,0.010407827191750707,-0.07101273556378473,3.1786120696788713,258,35,2712,412,-0.2810293983905489,-0.02566933908508995,-2.1826677830160635,57.251589156881444,0.5998193913445367,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-2.183_not_above_10.000
785,az69_pullback_1h_solusdt_slow72_z-1p0_hold6_lev2_e2a717ec,trend_pullback_reclaim,SOLUSDT,crypto_core,1h,long_short,72,-1.0,0.0,6,2,2,0.1,0.2,-0.058774390449052194,0.03552475616190165,0.16879357145322937,0.016675060941701014,-0.4958124655270501,3.1080471899689357,144,17,2258,282,-1.6544628816364544,-0.09429914661095384,-20.407774461476453,104.48457694676955,0.5988868107322024,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_17_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-20.408_not_above_10.000
786,az69_pullback_4h_adausdt_slow36_z-0p5_hold6_lev1_4c9ad9a1,trend_pullback_reclaim,ADAUSDT,crypto_core,4h,long_short,36,-0.5,0.0,6,2,1,0.1,0.1,-0.040509842052671274,0.037679553814642386,0.062497363553056684,0.016833359872233222,-0.538476519246177,4.528403894253635,114,13,1055,200,-1.0751146962077092,-0.07818939586731366,-35.53494916900989,289.84272165109525,0.5973777833153264,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_13_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-35.535_not_above_10.000
787,az69_pullback_4h_trxusdt_slow72_z-0p5_hold6_lev4_63ee577e,trend_pullback_reclaim,TRXUSDT,crypto_core,4h,long_short,72,-0.5,0.0,6,2,4,0.1,0.4,-0.052737370957813834,0.02066149274955409,0.12889307390781168,0.01636681334339829,-0.46062203364938026,2.2640505078007753,65,4,1014,188,-2.5524472794421884,-0.07339886370736792,-20.283604214543782,129.13432968471304,0.5958053896391922,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_65_below_80;validation_trade_event_count_4_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-20.284_not_above_10.000
788,az69_pullback_4h_dogeusdt_slow36_z-1p0_hold6_lev2_2de7d4f3,trend_pullback_reclaim,DOGEUSDT,crypto_core,4h,long_short,36,-1.0,0.0,6,2,2,0.1,0.2,-0.031952679294951825,0.01858605438293015,0.1284117710360959,0.015220731445683366,-0.27513525719547804,1.986198816892467,44,4,497,61,-1.7191749597105388,-0.050538733677881975,-36.309862835172524,232.32567978662686,0.595711742766877,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_44_below_80;validation_trade_event_count_4_below_30;validation_return_0.0186_below_0.02;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-36.310_not_above_10.000
