decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
2616,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p02_x0p005_hold48_cool12_adx20_3p0x_0p15_1cfda69a,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.2653973569471637,0.08235907020569311,0.013596924894026197,False,False,False,train_trade_event_count_57_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_7_below_20
2620,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p03_x0p0_hold24_cool0_adx20_3p0x_0p15_fdcad1d7,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.2573100380416473,0.07754513487270143,0.009024539490122718,False,False,False,locked_oos_return_per_turnover_proxy_bps_9.116_not_above_10.000
2640,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool12_none_3p0x_0p1_37b89c7c,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.08023880381204362,0.0941379141950558,0.005125377815465404,False,False,False,locked_oos_trade_event_count_12_below_20;train_return_0.0802_below_validation_return_0.0941;train_validation_return_ratio_0.8524_below_1.00
2641,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool12_none_2p0x_0p15_e2ec5d1e,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.0802388038120434,0.0941379141950558,0.005125377815465182,False,False,False,locked_oos_trade_event_count_12_below_20;train_return_0.0802_below_validation_return_0.0941;train_validation_return_ratio_0.8524_below_1.00
2644,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold18_cool0_adx20_3p0x_0p1_abb9c0f9,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.1806821759370174,0.061259909173544624,0.006159359712688994,False,False,False,locked_oos_return_per_turnover_proxy_bps_7.333_not_above_10.000
2645,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb6_e0p02_x0p005_hold18_cool0_adx20_2p0x_0p15_e88636c6,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.1806821759370174,0.0612599091735444,0.006159359712688994,False,False,False,locked_oos_return_per_turnover_proxy_bps_7.333_not_above_10.000
2650,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_trend_strength2_4p0x_0p1_d0f6a75f,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.14463306822596644,0.07935434365917127,0.0028000674405013193,False,False,False,locked_oos_return_per_turnover_proxy_bps_3.044_not_above_10.000
2655,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p025_x0p0_hold12_cool0_none_2p0x_0p15_ebc2d3a7,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.17973822081959212,0.06290599636712524,0.0063594652104232985,False,False,False,locked_oos_return_per_turnover_proxy_bps_7.571_not_above_10.000
2656,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p025_x0p0_hold12_cool0_none_3p0x_0p1_bac01d36,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.17973822081959145,0.06290599636712524,0.0063594652104235205,False,False,False,locked_oos_return_per_turnover_proxy_bps_7.571_not_above_10.000
2661,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p03_x0p0_hold24_cool0_none_3p0x_0p15_183e1a2a,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.25215548413795363,0.07754513487270143,0.009024539490122718,False,False,False,locked_oos_return_per_turnover_proxy_bps_9.116_not_above_10.000
