decision_rank,model_id,decision,family,symbol,timeframe,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
28,htf_trend_4h_trxusdt_lb48_th0p02_5p0x_0p1_dede70d0,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.06772430501025628,0.015413414657354574,False,False,False,train_validation_return_ratio_0.0078_below_0.50;train_return_per_turnover_proxy_bps_0.056_not_above_10.000
29,htf_trend_2h_trxusdt_lb48_th0p005_5p0x_0p15_b59ca1f5,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,2h,0.07627710608003624,0.03973159840004348,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.0328_below_0.50;train_return_per_turnover_proxy_bps_-3.001_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_9.460_not_above_10.000
30,htf_funding_squeeze_2h_solusdt_lb6_-2e-05_5p0x_0p1_67052918,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.09224560344060295,-0.013395798016542892,False,False,False,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.8337_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-11.507_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-26.792_not_above_10.000
31,htf_trend_4h_trxusdt_lb24_th0p005_4p0x_0p15_777478b2,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.07494792151506746,0.03848748323316542,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.3281_below_0.50;train_return_per_turnover_proxy_bps_-6.799_not_above_10.000
32,htf_funding_squeeze_4h_solusdt_lb12_5e-05_5p0x_0p1_8bbad391,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.09483036706858061,-0.02031015539152159,False,False,False,locked_oos_trade_event_count_16_below_20;train_return_not_positive;train_validation_return_ratio_-1.9550_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-16.553_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-25.388_not_above_10.000
33,htf_trend_6h_trxusdt_lb24_th0p005_5p0x_0p1_de2b572b,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.06989520688060713,0.035086609874411145,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9529_below_0.50;train_return_per_turnover_proxy_bps_-7.656_not_above_10.000
34,htf_trend_4h_trxusdt_lb12_th0p005_4p0x_0p15_873db3ff,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.06328833401321465,-0.0021366659207835426,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.557_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-0.828_not_above_10.000
35,htf_trend_6h_trxusdt_lb48_th0p02_5p0x_0p15_a2f6d62d,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.07862614630027154,-0.007121675325685972,False,False,False,validation_trade_event_count_14_below_30;train_return_not_positive;train_validation_return_ratio_-1.6848_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-11.775_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.391_not_above_10.000
36,htf_trend_4h_trxusdt_lb48_th0p01_4p0x_0p1_5a3f2000,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.06669269582658455,0.01743508240610714,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.7283_below_0.50;train_return_per_turnover_proxy_bps_-5.622_not_above_10.000
37,htf_trend_2h_ethusdt_lb6_th0p04_5p0x_0p15_6ff0ac58,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,2h,0.071031784605464,-0.02097430171961001,False,False,False,locked_oos_trade_event_count_16_below_20;train_validation_return_ratio_0.0090_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_0.050_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-17.479_not_above_10.000
38,htf_trend_6h_trxusdt_lb24_th0p01_5p0x_0p1_c2bb2e20,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.06601092418933563,0.039243647617941635,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9143_below_0.50;train_return_per_turnover_proxy_bps_-7.361_not_above_10.000
39,htf_trend_2h_solusdt_lb6_th0p04_5p0x_0p15_835a5edc,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,2h,0.06680322173385944,-0.055251154485442266,False,False,False,locked_oos_trade_event_count_16_below_20;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.633_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-46.043_not_above_10.000
40,htf_trend_6h_trxusdt_lb48_th0p01_4p0x_0p15_54566888,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.07296273754988669,-0.002538018337166381,False,False,False,validation_trade_event_count_24_below_30;train_return_not_positive;train_validation_return_ratio_-1.2185_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-9.091_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-1.244_not_above_10.000
41,htf_trend_1h_solusdt_lb48_th0p005_4p0x_0p15_3c9b9537,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,1h,0.0897701109051523,-0.1126863640432717,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.4947_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-3.150_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-19.564_not_above_10.000
42,htf_funding_squeeze_2h_solusdt_lb24_0p0_4p0x_0p1_92c36647,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.07093527838201608,-0.03646136308291359,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.5270_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-12.773_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-41.433_not_above_10.000
43,htf_trend_6h_ethusdt_lb6_th0p005_5p0x_0p15_f186602f,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,6h,0.09325465418987777,-0.1079494422825722,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.5443_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-2.051_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-35.983_not_above_10.000
44,htf_trend_1h_solusdt_lb48_th0p01_5p0x_0p15_9a5bf58b,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,1h,0.09821270499407997,-0.15647719393732118,False,False,False,train_return_not_positive;train_validation_return_ratio_-2.1805_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-4.313_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-21.733_not_above_10.000
45,htf_trend_1h_solusdt_lb12_th0p04_5p0x_0p15_bb629bbe,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,1h,0.0694048017632829,-0.024406816871410775,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_2.447_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-14.792_not_above_10.000
46,htf_trend_4h_ethusdt_lb48_th0p04_5p0x_0p15_7b98b200,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,4h,0.06953030599240972,0.027616127979402938,False,False,False,validation_trade_event_count_24_below_30;locked_oos_trade_event_count_16_below_20;train_return_per_turnover_proxy_bps_9.009_not_above_10.000
47,htf_funding_squeeze_2h_solusdt_lb24_5e-05_4p0x_0p1_66f264b2,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.07203080409395013,-0.03361769177155893,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.4579_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-8.870_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-30.016_not_above_10.000
