profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,source_profile_id,source_model_id,live_efficiency_score,efficiency_repair_reasons
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,TSLAUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,48,0.05,0.55,48,18,3,0.30000000000000004,0.0016511549536371017,0.012574609246837953,0.0065714749310401555,0.012716192709177565,2,10,27.519249227285027,41.9153641561265,0.6926449093978921,,tech_growth_qqq,0.04044674298268112,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;validation_return_0.0126_below_0.02;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_30m_tslausdt_lb48_th0p05_exit0p55_hold48_cool18_lev3_long_only_7de52156,-3.2972554878093203,train_below_validation_spike_risk;train_events_2_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,INTCUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,24,1.3,0.1,24,12,2,0.2,-0.012285294724352691,0.059901946880028145,0.027252298659078633,0.022634355240174986,89,79,-6.901850968737467,37.91262460761275,0.3730499637606436,,tech_growth_qqq,0.012752858073566294,False,train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-6.902_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_intcusdt_lb24_th1p3_exit0p1_hold24_cool12_lev2_long_short_fe75997e,-8.358780549602235,train_return_not_positive;train_below_validation_spike_risk;train_rpt_-6.902_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,HOODUSDT,tradfi_equity,trend_pullback_reclaim,1h,short_only,36,-0.25,0.0,30,6,3,0.30000000000000004,0.049379756213416615,0.013213867100697163,0.03143199753495174,0.03211273700606476,16,8,102.8744921112846,55.057779586238176,1.442167229279455,,crypto_liquidity_eth,0.06923267705257151,False,train_trade_event_count_16_below_80;validation_trade_event_count_8_below_30;validation_return_0.0132_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_trend_pullback_reclaim_1h_hoodusdt_lb36_th-0p25_exit0_hold30_cool6_lev3_short_only_b0ba9665,0.5497181537025199,train_events_16_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,MSTRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,48,0.05,0.55,12,12,3,0.30000000000000004,0.0009817734730579453,0.02768268011194941,0.0010118158310586933,0.026215516294694097,2,10,16.36289121763242,92.27560037316469,1.146209378136271,,energy_crude_beta,0.12638820505927234,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_mstrusdt_lb48_th0p05_exit0p55_hold12_cool12_lev3_long_only_b2b0034e,-4.924643971949863,train_below_validation_spike_risk;train_events_2_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,AMZNUSDT,tradfi_equity,volatility_adjusted_trend_persistence,2h,long_only,6,0.4,0.6,72,0,1,0.1,0.003478296864790398,0.02456977734618171,0.009059252303687981,0.007471565094355759,16,17,21.739355404939985,144.52810203636298,1.3587044074345374,,silver_metal_beta,0.03883566425895179,False,train_trade_event_count_16_below_80;validation_trade_event_count_17_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_2h_amznusdt_lb6_th0p4_exit0p6_hold72_cool0_lev1_long_only_537966e8,-1.6955198263300544,train_below_validation_spike_risk;train_events_16_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,CRCLUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,6,0.05,0.6,54,18,4,0.4,0.14273549660626172,0.13614600030266044,0.09957804606034004,0.07802371606600444,42,40,84.96160512277483,85.09125018916278,2.634763850069522,,high_beta_alt_sol,0.04367140990893477,False,train_trade_event_count_42_below_80,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_30m_crclusdt_lb6_th0p05_exit0p6_hold54_cool18_lev4_long_only_be290784,2.8908842658057914,
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,COINUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,long_only,12,0.2,0.39999999999999997,54,12,4,0.4,0.09197936486575498,0.04535095836509617,0.04073100032348187,0.05889406757893867,7,9,328.4977316634106,125.97488434748936,2.1397022785971034,,energy_crude_beta,0.05876326666204457,False,train_trade_event_count_7_below_80;validation_trade_event_count_9_below_30,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_coinusdt_lb12_th0p2_exit0p4_hold54_cool12_lev4_long_only_ecb6327f,0.9707228506131469,train_events_7_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,PLTRUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,12,0.4,0.6,24,12,2,0.2,0.026267730129404976,-0.00021636583272877097,0.022200320577704935,0.05701791961982128,134,141,9.801391839330215,-0.07672547259885494,-0.14930139381355503,,precious_metal_gold,0.021033039725239264,False,validation_return_-0.0002_below_0.02;train_return_per_turnover_proxy_bps_9.801_not_above_10.000;validation_return_per_turnover_proxy_bps_-0.077_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_pltrusdt_lb12_th0p4_exit0p6_hold24_cool12_lev2_long_short_74ade864,-11.038740995876092,validation_return_not_positive;train_rpt_9.801_not_above_10bps;validation_rpt_-0.077_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,PAYPUSDT,tradfi_equity,cross_sectional_momentum_rank,4h,short_only,48,0.25,0.65,24,6,4,0.4,0.0031920204691224807,0.011548345718084052,0.01952587620535362,0.05069542337316291,1,6,79.80051172806202,48.11810715868354,1.0522613762078974,,tech_growth_qqq,0.0882065855432312,False,train_trade_event_count_1_below_80;validation_trade_event_count_6_below_30;validation_return_0.0115_below_0.02;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_paypusdt_lb48_th0p25_exit0p65_hold24_cool6_lev4_short_only_f0e73856,-2.6864408903522197,train_below_validation_spike_risk;train_events_1_below_20;validation_events_6_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,METAUSDT,tradfi_equity,cross_sectional_momentum_rank,2h,long_short,72,0.15000000000000002,0.44999999999999996,54,9,5,0.5,0.005886467726563316,0.04804888135404628,0.00046077930208621165,0.016535391520409504,1,7,117.72935453126632,137.28251815441794,2.060711562647607,,energy_crude_beta,0.07787293838464028,False,train_trade_event_count_1_below_80;validation_trade_event_count_7_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_metausdt_lb72_th0p15_exit0p45_hold54_cool9_lev5_long_short_85372812,-2.1703616887559636,train_below_validation_spike_risk;train_events_1_below_20;validation_events_7_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,NVDAUSDT,tradfi_equity,volatility_adjusted_trend_persistence,1h,long_short,72,0.8,0.05,18,12,2,0.2,0.0023299163550334345,-0.0023868934450612667,0.00804663585836829,0.03021614460663613,5,32,23.299163550334345,-3.729521007908229,0.009180507788068226,,crypto_liquidity_eth,0.03399052052109581,False,train_trade_event_count_5_below_80;validation_return_-0.0024_below_0.02;validation_return_per_turnover_proxy_bps_-3.730_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_nvdausdt_lb72_th0p8_exit0p05_hold18_cool12_lev2_long_short_ac3b46f6,-11.73478340199177,validation_return_not_positive;train_events_5_below_20;validation_rpt_-3.730_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,GOOGLUSDT,tradfi_equity,volatility_adjusted_trend_persistence,4h,long_only,6,1.1,0.4,60,18,5,0.5,0.03524810115324062,0.1192255914627458,0.01568865347442483,0.028046176811517998,1,8,704.9620230648123,298.0639786568645,2.4190491690826743,,us_equity_beta_spy,0.1389417896419326,False,train_trade_event_count_1_below_80;validation_trade_event_count_8_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_googlusdt_lb6_th1p1_exit0p4_hold60_cool18_lev5_long_only_a5d54c41,-2.0488939442886385,train_below_validation_spike_risk;train_events_1_below_20
growth_mdd20_gross8_69_asset_efficiency_repair_optuna,BTCUSDT,crypto_core,volatility_adjusted_trend_persistence,1h,long_only,48,1.9,0.6,18,9,3,0.30000000000000004,0.00515346324542576,-0.004031029453339663,0.03342390901756864,0.005460395577481458,70,8,2.454030116869409,-16.795956055581925,-0.22630784509365118,,high_beta_alt_sol,0.05805266543798173,False,train_trade_event_count_70_below_80;validation_trade_event_count_8_below_30;validation_return_-0.0040_below_0.02;train_return_per_turnover_proxy_bps_2.454_not_above_10.000;validation_return_per_turnover_proxy_bps_-16.796_not_above_10.000,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_btcusdt_lb48_th1p9_exit0p6_hold18_cool9_lev3_long_only_5347512d,-13.996004009756689,validation_return_not_positive;train_rpt_2.454_not_above_10bps;validation_rpt_-16.796_not_above_10bps
growth_mdd20_gross8_69_asset_efficiency_repair_optuna,ETHUSDT,crypto_core,volatility_adjusted_trend_persistence,4h,long_only,72,0.4,0.05,18,18,10,1.0,0.04596007630592225,0.07833243661559308,0.2945390328044578,0.02705681889896283,18,2,25.533375725512357,391.66218307796544,1.74939977239647,,us_equity_beta_spy,0.03340073275000889,False,train_trade_event_count_18_below_80;validation_trade_event_count_2_below_30;train_return_below_validation_return_possible_validation_spike,growth_mdd20_gross8_69_asset_profile_optuna,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_ethusdt_lb72_th0p4_exit0p05_hold18_cool18_lev10_long_only_a831545e,-0.916728935355132,train_below_validation_spike_risk;validation_events_2_below_6
